,url,title,address,price_dayl,img_address,owner_pic_address,owner_gender,owner_name
0,http://dl.xiaozhu.com/fangzi/125823713601.html,机场打车起步，价阳光大床，24小时自助入住！,辽宁省大连市甘井子区东特购物广场爱俪舍,159,"https://image.xiaozhustatic3.com/00,800,533/23,0,10,5633,2666,2000,73bbf34f.jpg","https://image.xiaozhustatic1.com/21/20,0,50,32675,260,260,43995c7f.jpg",Male,h6co
1,http://dl.xiaozhu.com/fangzi/123764760103.html,大连金州区民宿2室一厅,辽宁省大连市金州区解放路360号,80,"https://image.xiaozhustatic3.com/00,800,533/22,0,77,25722,2666,2000,ee3558e1.jpg","https://image.xiaozhustatic1.com/21/22,0,42,22144,132,132,a5f54a94.jpg",Male,缅甸千圣珠宝赌石
2,http://dl.xiaozhu.com/fangzi/112174266701.html,海景大床房,辽宁省大连市中山区明泽街82 号嘉和广场,118,"https://image.xiaozhustatic3.com/00,800,533/20,0,71,22866,1440,1080,67f54cab.jpg","https://image.xiaozhustatic1.com/21/s,3,1zRj,132,132,2,29ee70ff.jpg",NA,小猪用户2816521***...
3,http://dl.xiaozhu.com/fangzi/128479123501.html,公主日记原创房,辽宁省大连市沙河口区凯德和平广场和平现代城C座,298,"https://image.xiaozhustatic3.com/00,800,533/s,1,u52,3000,2000,2,65931861.jpg","https://image.xiaozhustatic1.com/21/23,0,26,4461,132,132,d9857a15.jpg",NA,茴xi
4,http://dl.xiaozhu.com/fangzi/114926464703.html,豪华精致四人阁楼。,辽宁省大连市金州区水木华庭三号楼。,200,"https://image.xiaozhustatic3.com/00,800,533/20,0,22,40707,1440,1080,b7f09b29.jpg","https://image.xiaozhustatic1.com/21/19,0,56,32393,132,132,81539ecf.jpg",NA,日租公寓1n
5,http://dl.xiaozhu.com/fangzi/41529907501.html,星海广场 地铁1号线 无敌海景《阁楼上的光》,辽宁省大连市沙河口区星海广场B3区,168,"https://image.xiaozhustatic3.com/00,800,533/51,0,52,554,1920,1281,9bc79329.jpg","https://image.xiaozhustatic1.com/21/8,0,65,6741,260,260,d017952f.jpg",Male,ying0726
6,http://dl.xiaozhu.com/fangzi/118305374201.html,203美式乡村海景近星海公园广场自然博物馆,辽宁省大连市沙河口区黑石礁明珠花园,248,"https://image.xiaozhustatic3.com/00,948,533/21,0,11,17179,3555,2000,712777df.jpg","https://image.xiaozhustatic1.com/21/21,0,26,1172,270,270,0d0e9de5.jpg",Female,欣海怡风
7,http://dl.xiaozhu.com/fangzi/24788015401.html,星海【山木居】地中海风情美宿 地铁口自助入住,辽宁省大连市沙河口区中山路,158,"https://image.xiaozhustatic3.com/00,800,533/12,0,76,17308,1920,1280,bdb0e878.jpg","https://image.xiaozhustatic1.com/21/12,0,29,13151,260,260,c780c406.jpg",Male,山木居民宿
8,http://dl.xiaozhu.com/fangzi/98125190103.html,「山海雅筑の挪威森林」森林主题~近五一广场,辽宁省大连市沙河口区黄河路410号,159,"https://image.xiaozhustatic3.com/00,800,533/51,0,10,65269,1920,1281,ae6d4f8f.jpg","https://image.xiaozhustatic1.com/21/s,5,Kog,329,329,2,666062df.jpg",Male,山海雅筑民宿
9,http://dl.xiaozhu.com/fangzi/129198558503.html,美宿「暮光」住在海边哦！长租优惠巨幕影院,辽宁省大连市沙河口区中山路星海大厦B座,258,"https://image.xiaozhustatic3.com/00,800,533/s,1,1TAY,2999,2000,2,f370b26b.jpg","https://image.xiaozhustatic1.com/21/51,0,14,579,260,260,074e37cb.jpg",Female,惜缘居
10,http://dl.xiaozhu.com/fangzi/125586418603.html,澜庭轩主题房,辽宁省大连市沙河口区凯德和平广场和平现代城C座,278,"https://image.xiaozhustatic3.com/00,800,533/s,1,tXQ,3000,2000,2,057a71f2.jpg","https://image.xiaozhustatic1.com/21/23,0,26,4461,132,132,d9857a15.jpg",NA,茴xi
